iter	Passed	Remaining
0	8	8488
1	13	7117
2	19	6610
3	25	6546
4	31	6480
5	37	6382
6	42	6230
7	48	6182
8	53	6091
9	57	5895
10	65	6045
11	71	6117
12	77	6098
13	83	6089
14	89	6099
15	95	6075
16	101	6046
17	106	6036
18	113	6036
19	118	6011
20	124	6007
21	130	5990
22	135	5975
23	141	5935
24	146	5929
25	152	5927
26	157	5874
27	161	5811
28	167	5796
29	173	5794
30	178	5788
31	182	5719
32	190	5776
33	198	5847
34	205	5867
35	211	5874
36	219	5915
37	225	5908
38	231	5898
39	237	5898
40	243	5887
41	248	5875
42	253	5850
43	259	5842
44	265	5832
45	270	5809
46	276	5797
47	281	5786
48	285	5747
49	290	5717
50	296	5718
51	302	5706
52	308	5701
53	313	5694
54	317	5658
55	321	5620
56	327	5617
57	334	5624
58	340	5618
59	345	5614
60	351	5607
61	356	5595
62	362	5587
63	367	5571
64	373	5563
65	378	5555
66	384	5556
67	390	5553
68	397	5555
69	403	5550
70	407	5521
71	411	5499
72	417	5497
73	423	5489
74	428	5482
75	434	5474
76	439	5465
77	445	5459
78	450	5451
79	456	5444
80	462	5436
81	468	5439
82	474	5440
83	480	5439
84	486	5434
85	492	5428
86	498	5431
87	504	5425
88	510	5420
89	514	5395
90	519	5387
91	525	5378
92	530	5371
93	537	5374
94	541	5353
95	546	5342
96	554	5357
97	562	5374
98	569	5381
99	575	5378
100	584	5398
101	592	5417
102	601	5433
103	607	5432
104	613	5424
105	620	5427
106	628	5442
107	633	5435
108	639	5426
109	644	5417
110	650	5409
111	656	5401
112	661	5392
113	666	5382
114	672	5371
115	677	5363
116	683	5355
117	688	5343
118	694	5337
119	699	5327
120	705	5323
121	711	5318
122	717	5311
123	722	5304
124	728	5294
125	733	5287
126	739	5279
127	746	5283
128	752	5277
129	757	5270
130	764	5273
131	771	5275
132	777	5267
133	783	5259
134	788	5252
135	794	5244
136	798	5229
137	804	5224
138	810	5215
139	814	5203
140	821	5201
141	826	5194
142	832	5189
143	838	5183
144	844	5178
145	850	5175
146	856	5170
147	862	5165
148	868	5159
149	874	5152
150	880	5149
151	886	5143
152	892	5136
153	897	5129
154	903	5125
155	910	5122
156	915	5116
157	921	5110
158	926	5100
159	932	5092
160	936	5076
161	941	5069
162	947	5064
163	951	5049
164	955	5034
165	960	5019
166	964	5006
167	969	4999
168	975	4992
169	980	4984
170	985	4975
171	991	4970
172	997	4964
173	1003	4958
174	1008	4952
175	1015	4948
176	1021	4946
177	1028	4945
178	1035	4944
179	1042	4944
180	1047	4938
181	1053	4931
182	1058	4921
183	1064	4918
184	1070	4912
185	1076	4907
186	1082	4901
187	1087	4893
188	1093	4890
189	1099	4883
190	1104	4875
191	1110	4869
192	1116	4865
193	1122	4860
194	1127	4853
195	1134	4848
196	1141	4850
197	1147	4845
198	1153	4840
199	1159	4833
200	1165	4828
201	1171	4824
202	1177	4821
203	1184	4818
204	1191	4817
205	1197	4811
206	1203	4806
207	1208	4799
208	1215	4799
209	1223	4802
210	1230	4798
211	1236	4794
212	1242	4787
213	1247	4780
214	1253	4774
215	1258	4767
216	1263	4755
217	1268	4746
218	1273	4740
219	1279	4734
220	1284	4726
221	1290	4719
222	1296	4713
223	1301	4706
224	1306	4698
225	1312	4691
226	1317	4684
227	1323	4679
228	1328	4671
229	1334	4665
230	1338	4653
231	1344	4649
232	1351	4645
233	1357	4641
234	1363	4637
235	1370	4632
236	1375	4626
237	1381	4621
238	1387	4616
239	1393	4609
240	1399	4603
241	1404	4597
242	1409	4589
243	1416	4585
244	1421	4579
245	1427	4574
246	1433	4567
247	1439	4561
248	1444	4553
249	1450	4550
250	1456	4544
251	1462	4538
252	1468	4532
253	1472	4520
254	1475	4508
255	1480	4499
256	1486	4493
257	1491	4486
258	1498	4483
259	1502	4473
260	1506	4462
261	1513	4459
262	1520	4456
263	1526	4453
264	1532	4446
265	1538	4441
266	1543	4435
267	1547	4423
268	1552	4416
269	1558	4410
270	1563	4402
271	1569	4397
272	1575	4391
273	1581	4385
274	1586	4379
275	1592	4373
276	1598	4367
277	1603	4361
278	1609	4355
279	1614	4348
280	1620	4343
281	1627	4339
282	1632	4332
283	1638	4326
284	1644	4320
285	1649	4314
286	1653	4304
287	1658	4295
288	1662	4286
289	1668	4280
290	1674	4274
291	1678	4264
292	1683	4256
293	1688	4249
294	1694	4244
295	1699	4238
296	1705	4232
297	1709	4222
298	1713	4211
299	1717	4201
300	1721	4192
301	1729	4191
302	1735	4186
303	1742	4184
304	1747	4175
305	1754	4174
306	1760	4169
307	1769	4170
308	1775	4165
309	1780	4158
310	1785	4151
311	1791	4145
312	1797	4139
313	1802	4132
314	1808	4129
315	1813	4120
316	1819	4115
317	1826	4113
318	1832	4108
319	1840	4105
320	1846	4101
321	1852	4095
322	1858	4090
323	1862	4081
324	1870	4079
325	1877	4076
326	1883	4072
327	1889	4067
328	1894	4060
329	1900	4053
330	1906	4048
331	1912	4043
332	1919	4040
333	1924	4034
334	1931	4030
335	1936	4023
336	1942	4017
337	1949	4013
338	1956	4012
339	1964	4009
340	1968	4000
341	1974	3994
342	1979	3988
343	1985	3983
344	1991	3976
345	1997	3971
346	2004	3967
347	2010	3963
348	2016	3957
349	2021	3951
350	2026	3943
351	2032	3937
352	2037	3931
353	2043	3924
354	2048	3918
355	2054	3912
356	2059	3906
357	2064	3898
358	2070	3892
359	2075	3886
360	2081	3880
361	2087	3875
362	2092	3868
363	2098	3862
364	2104	3856
365	2108	3847
366	2113	3841
367	2119	3835
368	2125	3830
369	2131	3825
370	2137	3819
371	2143	3814
372	2148	3807
373	2154	3802
374	2160	3796
375	2165	3790
376	2171	3783
377	2177	3778
378	2184	3775
379	2191	3772
380	2198	3767
381	2203	3761
382	2208	3753
383	2212	3745
384	2217	3737
385	2221	3729
386	2225	3720
387	2232	3716
388	2238	3711
389	2244	3705
390	2249	3699
391	2255	3694
392	2261	3688
393	2266	3681
394	2273	3677
395	2279	3671
396	2285	3667
397	2292	3662
398	2299	3659
399	2306	3656
400	2312	3650
401	2318	3645
402	2324	3639
403	2328	3631
404	2335	3626
405	2341	3622
406	2348	3618
407	2354	3612
408	2358	3603
409	2363	3596
410	2370	3592
411	2378	3590
412	2385	3587
413	2393	3585
414	2398	3576
415	2402	3569
416	2409	3564
417	2416	3560
418	2421	3554
419	2429	3551
420	2436	3547
421	2443	3543
422	2448	3536
423	2453	3530
424	2459	3524
425	2464	3517
426	2471	3513
427	2477	3507
428	2481	3499
429	2487	3493
430	2491	3485
431	2495	3477
432	2499	3469
433	2504	3462
434	2510	3456
435	2516	3452
436	2523	3447
437	2530	3443
438	2537	3439
439	2543	3433
440	2549	3428
441	2556	3424
442	2563	3419
443	2569	3414
444	2575	3408
445	2579	3400
446	2584	3394
447	2590	3387
448	2595	3382
449	2601	3375
450	2606	3369
451	2611	3363
452	2617	3357
453	2623	3351
454	2629	3345
455	2632	3337
456	2638	3331
